"County","Year","Race","EDvisits"
"lake",2016,"Asian/PI",NA
"lassen",2016,"Asian/PI",0
"los angeles",2016,"Asian/PI",21
"madera",2016,"Asian/PI",NA
"marin",2016,"Asian/PI",15.5
"mariposa",2016,"Asian/PI",0
"mendocino",2016,"Asian/PI",NA
"merced",2016,"Asian/PI",26.9
"modoc",2016,"Asian/PI",0
"mono",2016,"Asian/PI",NA
"monterey",2016,"Asian/PI",37.2
"napa",2016,"Asian/PI",22.2
"nevada",2016,"Asian/PI",NA
"orange",2016,"Asian/PI",14.2
"placer",2016,"Asian/PI",21
"plumas",2016,"Asian/PI",0
"riverside",2016,"Asian/PI",16.6
"sacramento",2016,"Asian/PI",34.6
"san benito",2016,"Asian/PI",NA
"san bernardino",2016,"Asian/PI",18.7
"san diego",2016,"Asian/PI",19.7
"san francisco",2016,"Asian/PI",21.9
"san joaquin",2016,"Asian/PI",29.4
"san luis obispo",2016,"Asian/PI",16.1
"san mateo",2016,"Asian/PI",21.5
"santa barbara",2016,"Asian/PI",20.2
"santa clara",2016,"Asian/PI",14.3
"santa cruz",2016,"Asian/PI",NA
"shasta",2016,"Asian/PI",44.7
"sierra",2016,"Asian/PI",0
"siskiyou",2016,"Asian/PI",NA
"solano",2016,"Asian/PI",52.2
"sonoma",2016,"Asian/PI",34.4
"stanislaus",2016,"Asian/PI",27.6
"sutter",2016,"Asian/PI",19
"tehama",2016,"Asian/PI",NA
"trinity",2016,"Asian/PI",0
"tulare",2016,"Asian/PI",18.6
"tuolumne",2016,"Asian/PI",NA
"ventura",2016,"Asian/PI",12.9
"yolo",2016,"Asian/PI",19.7
"yuba",2016,"Asian/PI",35.2
"alameda",2016,"AI/AN",80.5
"alpine",2016,"AI/AN",0
"amador",2016,"AI/AN",NA
"butte",2016,"AI/AN",NA
"calaveras",2016,"AI/AN",NA
"colusa",2016,"AI/AN",0
"contra costa",2016,"AI/AN",56.3
"del norte",2016,"AI/AN",NA
"el dorado",2016,"AI/AN",NA
"fresno",2016,"AI/AN",22.1
"glenn",2016,"AI/AN",NA
"humboldt",2016,"AI/AN",46.2
"imperial",2016,"AI/AN",NA
"inyo",2016,"AI/AN",108.3
"kern",2016,"AI/AN",NA
"kings",2016,"AI/AN",NA
"lake",2016,"AI/AN",83.1
"lassen",2016,"AI/AN",NA
"los angeles",2016,"AI/AN",35.9
"madera",2016,"AI/AN",0
"marin",2016,"AI/AN",NA
"mariposa",2016,"AI/AN",NA
"mendocino",2016,"AI/AN",80.4
"merced",2016,"AI/AN",NA
"modoc",2016,"AI/AN",NA
"mono",2016,"AI/AN",NA
"monterey",2016,"AI/AN",NA
"napa",2016,"AI/AN",0
"nevada",2016,"AI/AN",NA
"orange",2016,"AI/AN",NA
"placer",2016,"AI/AN",NA
"plumas",2016,"AI/AN",NA
"riverside",2016,"AI/AN",36.5
"sacramento",2016,"AI/AN",44.3
"san benito",2016,"AI/AN",0
"san bernardino",2016,"AI/AN",199.4
"san diego",2016,"AI/AN",28.5
"san francisco",2016,"AI/AN",263.9
"san joaquin",2016,"AI/AN",NA
"san luis obispo",2016,"AI/AN",0
"san mateo",2016,"AI/AN",NA
"santa barbara",2016,"AI/AN",NA
"santa clara",2016,"AI/AN",NA
"santa cruz",2016,"AI/AN",0
"shasta",2016,"AI/AN",NA
"sierra",2016,"AI/AN",0
"siskiyou",2016,"AI/AN",NA
"solano",2016,"AI/AN",95.6
"sonoma",2016,"AI/AN",37.5
"stanislaus",2016,"AI/AN",NA
"sutter",2016,"AI/AN",0
"tehama",2016,"AI/AN",NA
"trinity",2016,"AI/AN",NA
"tulare",2016,"AI/AN",NA
"tuolumne",2016,"AI/AN",NA
"ventura",2016,"AI/AN",NA
"yolo",2016,"AI/AN",NA
"yuba",2016,"AI/AN",NA
"alameda",2017,"White",28.4
"alpine",2017,"White",0
"amador",2017,"White",52.9
"butte",2017,"White",48
"calaveras",2017,"White",61.2
"colusa",2017,"White",22.8
"contra costa",2017,"White",36.2
"del norte",2017,"White",84.6
"el dorado",2017,"White",37.8
"fresno",2017,"White",73.6
"glenn",2017,"White",49.2
"humboldt",2017,"White",68.4
"imperial",2017,"White",70.3
"inyo",2017,"White",77.6
"kern",2017,"White",44.5
"kings",2017,"White",71.2
