"site","ozone","month","year","lat","lon"
3484,0.027396992481203,2,2015,36.48943,-118.829138
3486,0.0251854003139717,2,2015,34.942872,-120.435611
3489,0.0245156950672646,2,2015,36.694261,-121.623271
3490,0.0172846034214619,2,2015,37.6875,-121.7842
3491,0.0325159937888199,2,2015,39.708454,-121.617309
3495,0.0391847826086957,2,2015,35.644167,-120.23
3500,0.026234991708126,2,2015,34.51096,-117.32555
3502,0.0279030546623794,2,2015,34.38337,-118.52839
3505,0.0274247648902821,2,2015,34.404281,-118.80998
3658,0.0275472131147541,2,2015,34.66959,-118.13068
3661,0.0181687296416938,2,2015,37.348488,-121.894936
3665,0.0270697017268446,2,2015,34.427753,-119.690912
3668,0.0204242236024845,2,2015,37.9604,-122.35685
3673,0.0233029595015576,2,2015,33.61235,-114.60209
3674,0.0224589437819421,2,2015,33.83061,-117.9385
3678,0.0200549698795181,2,2015,38.35655,-121.94986
3683,0.02959392,2,2015,33.95507,-118.43049
3688,0.0253180533751962,2,2015,35.25651,-120.6693
3690,0.0267943143812709,2,2015,32.70139,-117.1528
3693,0.0238212068965517,2,2015,34.01029,-118.0685
3694,0.0268555900621118,2,2015,35.35472,-120.04019
3696,0.0272488188976378,2,2015,37.68268,-121.44238
3697,0.0442291993720565,2,2015,33.7411,-115.8206
3702,0.0218630048465267,2,2015,33.99636,-117.4924
3714,0.0226954968944099,2,2015,39.53387,-122.190834
3716,0.019486895475819,2,2015,40.77678,-124.17949
3726,0.021578869047619,2,2015,36.209018,-121.125959
3732,0.040424739195231,2,2015,33.93983,-115.41085
3738,0.0175225080385852,2,2015,38.650783,-121.506767
3739,0.0330300884955752,2,2015,32.57816,-116.92135
3742,0.0188588419405321,2,2015,37.8148,-122.28236
3743,0.0211965753424658,2,2015,33.901445,-118.204989
3758,0.02748125,2,2015,35.23918,-118.78863
3759,0.0226510903426791,2,2015,36.63424,-120.38234
3763,0.0193429541595925,2,2015,36.03179,-119.05505
3766,0.0305844594594595,2,2015,32.84547,-117.12389
3771,0.020315424610052,2,2015,36.95326,-120.03419
3774,0.0221696537678208,2,2015,33.8025,-118.22
3777,0.0394363636363636,2,2015,33.583018,-117.072202
3779,0.0228176024279211,2,2015,40.71527,-124.20149
3781,0.0174149842271293,2,2015,36.78538,-119.77321
3783,0.0178615506329114,2,2015,39.76168,-121.84047
3787,0.022820202020202,2,2015,35.33156,-118.9999
3796,0.0177627627627628,2,2015,38.88563,-121.30208
3804,0.017180407523511,2,2015,38.403765,-122.818294
3806,0.0239221453287197,2,2015,32.817978,-116.968133
3812,0.0210277777777778,2,2015,35.49442,-120.66622
3816,0.0222073134328358,2,2015,40.17088,-122.25556
5274,0.0370376146788991,2,2015,36.69731,-119.0188
5275,0.0325428571428571,2,2015,36.1344,-118.811
2008,0.0360821484992101,3,2015,34.46248,-120.02547
2013,0.0314352750809062,3,2015,36.70556,-119.74139
2016,0.0283258928571429,3,2015,36.48187,-121.73333
2032,0.03000125,3,2015,36.33252,-119.29095
2077,0.0431929347826087,3,2015,34.05965,-117.14734
2094,0.0258201863354037,3,2015,37.95075,-121.26897
2114,0.0337269230769231,3,2015,36.59744,-119.50369
2116,0.037421752265861,3,2015,37.36075,-118.3308
2123,0.0269952830188679,3,2015,38.71209,-121.38108
2125,0.0236786963434022,3,2015,37.48293,-122.20348
2143,0.0277260869565217,3,2015,38.53455,-121.7734
2160,0.0292352750809061,3,2015,34.13265,-118.12714
2199,0.0476030158730159,3,2015,33.85262,-116.54099
2221,0.0308491883116883,3,2015,34.106678,-117.274063
2249,0.0248998310810811,3,2015,33.92505,-117.95259
2263,0.0301083743842365,3,2015,33.127708,-117.075327
2266,0.0355560067681895,3,2015,34.10015,-117.49198
2312,0.0342766091051805,3,2015,35.345607,-118.851825
2321,0.0328751974723539,3,2015,35.366386,-120.842602
2360,0.0299201277955272,3,2015,34.63782,-120.4575
2368,0.0379127819548872,3,2015,32.952499,-117.263336
2373,0.0250478056426332,3,2015,37.76595,-122.39902
2410,0.0261663009404389,3,2015,38.10251,-122.238
2420,0.0322666666666667,3,2015,34.1992,-118.53275
2460,0.0506578947368421,3,2015,32.84232,-116.76831
2484,0.0342297124600639,3,2015,34.13648,-117.92392
2485,0.0335663430420712,3,2015,34.10367,-117.62906
2494,0.0340018867924528,3,2015,34.05109,-118.4564
2499,0.0405901716068643,3,2015,34.24313,-117.2723
2525,0.03051248049922,3,2015,33.78933,-117.22764
2551,0.03676109375,3,2015,32.79215,-115.56299
